stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,stop_url
EFRD1,EFRD1,ENG. FERREIRA DIAS,41.1708769290584,-8.64458076581845,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=EFRD1
MRS2,MRS2,MOREIRA SÁ,41.1623459354168,-8.63287857791813,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MRS2
RSR2,RSR2,R. DO SENHOR,41.1833351757534,-8.64522747775022,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=RSR2
MTB1,MTB1,MTE BURGOS (CIRC.),41.1794186140715,-8.62873836480282,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MTB1
STLZ1,STLZ1,STA. LUZIA,41.1773683747384,-8.62475089953243,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=STLZ1
CNG1,CNG1,CONGOSTAS,41.1797475482742,-8.63386554662375,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=CNG1
CSR2,CSR2,C. SAÚDE RAMALDE,41.1689444327233,-8.65105559727478,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=CSR2
ANTG2,ANTG2,ANTUNES GUIMARÃES,41.1704028827062,-8.65582083889883,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=ANTG2
AV2,AV2,ALTO DO VISO,41.1842527642296,-8.64136106175064,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=AV2
BRSE2,BRSE2,BR. STO. EUGÉNIO,41.1815013300616,-8.63639368047073,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=BRSE2
URBP1,URBP1,URB. PRELADA,41.1708907364653,-8.63721791682936,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=URBP1
SDP2,SDP2,SIDÓNIO PAIS,41.1644542469111,-8.63709197525484,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=SDP2
LRD2,LRD2,LORDELO,41.1541388652798,-8.6477221970907,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=LRD2
PCL1,PCL1,PADRE LUIS CABRAL,41.1518055810922,-8.66805554799815,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=PCL1
GC11,GC11,GOMES COSTA 1,41.1615979528375,-8.65699709924862,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=GC11
FOCO3,FOCO3,FOCO,41.1609823163537,-8.64793502673004,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=FOCO3
PGM2,PGM2,PAULO DA GAMA,41.1480468467105,-8.65728648510656,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=PGM2
LRD1,LRD1,LORDELO,41.154388913035,-8.64902771034446,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=LRD1
PFOZ2,PFOZ2,PINHAIS DA FOZ,41.1551445195727,-8.66326007592277,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=PFOZ2
PFOZ1,PFOZ1,PINHAIS DA FOZ,41.1552511650988,-8.66305721705899,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=PFOZ1
